56379,352565,598972,228387,467553,49651,562131,570794,89867,66818,413753,
100620,498276,436940,181890,479525,551988,167713,459432,133836,72686,
358647,82633,508653,130595,183559,152101,282335,526938,200542,79942,
475872,391788,20703,113029,83013,94425,463009,69141,560878,272839,
389904,127942,341189,107019,570598,13173,152274,334795,26957,68070,
353265,571557,337603,304178,378159,393888,3815,284571,549528,274791,
496722,278357,7842,154790,527812,106994,507723,241214,296646,144459,
411808,154922,515828,146556,287683,496438,580036,271643,179296,571879,
137682,478963,55574,557105,437520,240168,220512,288380,419667,69486,
232019,74740,267757,402227,482440,169009,75958,35713,282980,446180,
126079,375040,538718,64721,237293,288027,208550,287179,223149,89934,
5086,377822,511654,257688,332691,488267,258963,152608,253160,136975,
202279,345349,525015,334380,181057,409498,249587,569962,198298,309818,
278388,429188,427681,445271,219864,273761,173637,557333,181852,244143,
429735,370979,295932,396827,27307,335644,90509,570803,340795,192171,
247322,400309,63425,436016,74446,270283,209422,498602,202997,194462,
438279,467818,380644,330132,408518,1573,38495,198212,251100,344770,
248765,512448,267878,118580,498111,177152,93323,544251,360981,89506,
547248,244228,597582,501803,127570,449701,221208,235151,3699,117346,
474064,215302,253719,428047,85072,330764,46671,73984,154513,3242,
421822,300065,164832,432282,137448,80592,242180,261866,207404,419640,
587672,194860,337560,481250,91635,4388,73166,362512,194248,295239,
41610,235183,201310,322750,204314,680,289417,560422,204067,235619,
27427,506716,242013,100883,89319,32129,489496,124113,492141,455550,
308392,496882,183576,242580,536568,123806,560454,157978,362606,107293,
511448,474732,493454,136740,154936,151668,443735,119470,511354,144956,
470754,158973,408969,325717,289547,376403,272318,420812,213310,563470,
460963,526903,463109,233809,22545,107205,227718,187659,389083,438480,
142421,127064,288121,209841,104874,318591,116988,334824,376262,493000,
468391,379780,441153,269919,546783,42707,560646,325623,560031,377826,
469668,580015,390584,448125,267139,185550,283051,369194,27100,159382,
67653,537266,471650,333083,233720,150952,315758,107976,517326,242727,
96692,296268,560873,565678,121393,598864,538199,93545,465791,170813,
578202,322580,390687,514657,217848,469513,60081,287690,25544,395299,
40041,458079,3369,582403,300181,328196,436904,413667,36386,23596,
264374,228690,435694,161878,38342,409306,129113,569127,214669,396780,
405070,545216,412782,81920,106988,12670,66086,130828,54731,230347,
