44544,58404,30883,87903,82708,17466,96110,12640,16089,92957,40937,
79187,30991,17132,75600,71234,75891,52266,58423,56383,1559,
69741,32526,99060,53354,13571,80770,82927,34763,71761,82360,
96484,66946,70763,98824,60167,6446,43002,79751,17640,83156,
23164,26163,70134,30274,28905,16510,12412,75053,3383,45287,
23099,54573,89986,53454,70865,9426,96716,99538,46467,19737,
74913,42669,53350,69147,62243,14053,90931,64540,91077,95482,
74361,44635,87511,99617,79187,22643,8945,64924,59397,12594,
2150,50591,9691,39092,27986,88720,57161,54860,31224,99890,
87704,96557,30622,33577,69720,55444,35802,32445,77844,85316,
59349,21186,66286,61262,72114,97151,50349,28433,32747,32751,
39596,13825,59757,17436,87777,38313,82358,50522,50355,43222,
77339,20727,39473,14008,27973,21917,3263,11921,85881,72294,
21719,43919,24458,82969,92037,13966,65370,41130,8106,7888,
12030,2553,43606,33166,92401,61515,8309,97132,42449,38207,
32938,9828,69939,6310,93078,68626,7377,24962,70522,19787,
44696,22190,16832,85081,52814,69595,54022,81574,72232,29293,
2417,23362,15359,42759,83583,52337,66260,30013,32107,13605,
17798,55738,32320,57413,16042,78619,72157,83062,95265,18098,
92755,30741,19318,32430,36832,62125,26054,85758,89411,78088,
83141,85570,75333,15316,69906,29713,44339,79151,14880,25686,
21523,9584,12590,41800,13535,13006,85542,58973,80279,99004,
9813,25757,62205,27200,61492,93658,82563,12439,1402,53969,
80161,2374,99108,36558,91228,58419,59347,67208,1681,61505,
87464,43281,59581,54660,8806,46243,35246,92340,37113,80833,
28963,40094,17488,18399,57264,17592,87807,61217,63328,73532,
21906,22672,91901,60924,51897,69095,88664,77523,27250,88479,
71297,23711,18258,68503,43747,34062,45679,43513,8390,86766,
4772,30125,39424,5484,58003,90133,86311,62593,35223,77613,
26585,11200,2004,20374,67512,51705,91224,18697,71513,86795,
76603,71781,92287,28891,42946,40647,66715,91607,21313,81554,
29003,17264,68292,74142,86927,82086,9227,4571,61331,55138,
26513,5458,83253,99161,73854,78172,25216,83259,67050,90402,
8235,59152,36995,35823,73845,93282,44389,29080,74435,32690,
63662,92041,78468,37915,5996,42306,94508,84841,69207,86103,
84114,15285,11484,31578,94928,24259,68539,76553,35721,8817,
68035,67441,46073,7984,79257,70510,76582,86167,10148,46422,
97688,61893,23666,9124,81849,30817,36654,49441,18004,69614,
5091,63308,48751,25362,42476,70726,81066,43155,52402,17556,
3859,90432,28115,30565,44263,63965,32964,66251,35267,43895,
43721,51230,60901,94105,26876,3431,22783,26122,27641,54794,
31762,47142,92219,11712,10634,33899,60849,64804,77201,15888,
3897,77724,80595,18558,2726,40857,424,83275,78351,38136,
2730,69518,1022,87390,64504,51573,71592,8480,56898,13505,
92212,77060,43468,93946,71405,35206,17831,45916,58185,30397,
97041,88294,99484,5538,63437,61666,75325,19725,55540,7445,
78925,21717,94741,24786,67108,88661,44529,31860,34172,89307,
